Телескоп,Location,ID,Широта (град),Долгота (град),Высота над уровнем моря (км),Широта (рад),Долгота (рад),X  (км),Y  (км),Z  (км),0,15,30,45,60,75,90,105,120,135,150,165,180,195,210,225,240,255,270,285,300,315,330,345,360
Монды АЗТ-14,Mondy,10003,"51,622227","100,921765","2,008","0,9009778284","1,7614170862","-752,0464182274","3897,3479261745","4978,3907247915",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Абастумани,Abastumani,10007,"41,754583","42,8225","1,5757","0,7287549511","0,7473936189","3495,9564627346","3239,8421858072","4226,3570064127",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Китаб,Kitab,10009,"39,133724","66,886365","0,6635","0,6830123324","1,1673872939","1944,9131707836","4556,779928007","4004,2620679944",15,15,13,12,10,8,5,5,7,8,9,10,10,10,10,10,10,10,10,8,7,5,10,12,15
Архыз Цейсс-600,Arhyz,10010,"43,6499988889","41,4315861111","2,0795","0,7618361991","0,723117592","3466,75938923","3059,757797842","4381,4708160235",53,51,46,40,38,33,20,10,10,10,10,10,10,10,13,18,17,15,40,47,52,55,55,54,53
Терскол (Цейсс-600),Terskol,10011,"43,275","42,500472","3,125","0,7552912338","0,7417731701","3430,7755592948","3143,7785900333","4351,9376223273",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Терскол Цейсс-2000,Terskol,10012,"43,2763100221","42,4993900235","3,127","0,755314098","0,741754286","3430,7624047897","3143,6473505407","4352,0450085456",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Маяки РК-600,Mayaki,10016,"46,397372248","30,2715939927","0,0144","0,80978691","0,528338985","3805,6116264394","2221,2896127816","4595,8305950477",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Евпатория АЗТ-8,Evpatoriya,10018,"45,2191436887","33,1627990156","0,041","0,7892229423","0,578800032","3767,3446650809","2461,7892516673","4504,56562381",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Симеиз Цейсс-1000,Simeiz,10019,"44,4123719988","33,9912499789","0,3791","0,77514212","0,593259229","3783,9502980934","2551,4660078498","4441,2031232474",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Сары-Шаган АЗТ-28,Sary-Shagan,10021,"45,9084954363","73,6052408754","0,35","0,8012544","1,2846538","1254,8644819398","4265,1040822196","4558,4278706591",7,7,7,7,7,7,13,8,7,7,7,7,7,7,7,8,10,14,15,14,10,8,7,7,7
Пулково (АКД),Pulkovo,10024,"59,771864","30,327333","0,1","1,0432158269","0,5293118142","2778,6169775415","1625,4713313057","5487,8113933645",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Коуровка СБГ,Kourovka,10025,"57,0363889142","59,5416666977","0,3","0,99547278","1,039198126","1763,4207392446","2998,6788485284","5328,3577534795",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Научный-1 АТ-64,Nauchny-1,10031,"44,7263333327","34,0160499987","0,57","0,780621779","0,593692071","3762,6627010782","2539,4818822916","4466,1934890208",1,3,8,9,13,13,14,15,17,16,16,16,44,44,44,44,15,14,13,12,12,9,19,2,1
Абастумани (40см),Abastumani,10033,"41,757028","42,8142","1,6098","0,7287976244","0,7472487566","3496,3117205405","3239,2300678718","4226,5823492083",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Майданак АЗТ-22,Majdanak,10040,"38,6848325168","66,9430630733","2,714","0,675177698","1,168376862","1953,2894660711","4588,9773076355","3966,7625379769",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Майданак Цейсс-600,Majdanak,10041,"38,6733200185","66,8964099849","2,593","0,674976767","1,167562612","1957,3018610237","4588,0333785047","3965,6888238903",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Гиссар АЗТ-8,Gissar,10044,"38,4909219984","68,6825840242","0,7322","0,671793321","1,19873723","1817,4065878441","4657,2234980749","3948,6964159927",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Санглок Цейсс-600,Sanglock,10045,"38,2603780187","69,2173917353","2,29002","0,6677695695","1,2080713854","1779,9286849031","4689,9833035555","3929,5963601162",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Санглок VT-78e,Sanglock,10046,"38,261323","69,218654","2,2861","0,6677860625","1,2080934161","1779,8012144012","4689,9588867583","3929,6763252555",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Краснодар РК-504,Krasnodar,10049,"45,020222","39,0307745","0,071","0,7857511039","0,6812155246","3508,1043235802","2843,9280900406","4488,9874394086",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Благовещенск,Blagoveshchensk,10055,"50,318648","127,48208","0,22","0,8782260828","2,2249820333","-2483,2147063197","3238,2849964087","4885,6656297651",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Китаб ОРИ-40,Kitab,10058,"39,1357920129","66,8856199864","0,65771","0,683048426","1,167374291","1944,9137689654","4556,6172231219","4004,4365142616",15,15,15,10,10,8,5,5,7,10,10,10,10,10,10,10,10,10,10,10,10,5,5,10,15
Китаб ОРИ-22,Kitab,10059,"39,1357920129","66,8856199864","0,65771","0,683048426","1,167374291","1944,9137689654","4556,6172231219","4004,4365142616",15,15,15,10,10,8,5,5,7,10,10,10,10,10,10,10,10,10,10,10,10,5,5,10,15
Тирасполь SRT-220,Tiraspol,10060,"46,83","29,59","0,02793","0,8173376887","0,5164429257","3801,3820251197","2158,6080574891","4628,8757489583",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Тирасполь ОРИ-25,Tiraspol,10062,"46,83","29,59","0,02793","0,8173376887","0,5164429257","3801,3820251197","2158,6080574891","4628,8757489583",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Тирасполь,Tiraspol,10064,"46,83626","29,631726","0,455","0,8174469463","0,5171711817","3799,6217492113","2161,2693552443","4629,6633457706",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Уссурийск,Ussurijsk,10065,"43,700827","132,163386","0,273","0,762723317","2,3066862363","-3100,2902818284","3423,537760603","4384,3085409033",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Уссурийск (22см),Ussurijsk,10066,"43,700999","132,162602","0,2687","0,762726319","2,3066725529","-3100,2324864372","3423,5680912385","4384,319386557",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Уссурийск ОРИ-22,Ussurijsk,10067,"43,7008270003","132,1625791446","0,2738","0,762723317","2,306672154","-3100,2424584932","3423,5818481238","4384,3090936432",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Уссурийск ОРИ-50,Ussurijsk,10068,"43,698411","132,165745","0,27692","0,7626811498","2,3067274086","-3100,5576333424","3423,5496780106","4384,1171712802",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Китаб (22см),Kitab,10069,"39,133724","66,886365","0,6635","0,6830123324","1,1673872939","1944,9131707836","4556,779928007","4004,2620679944",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Тариха,Tarija,10070,"-21,59625","-64,623583","1,855","-0,3769256686","-1,1278942978","2543,4421723022","-5362,1717472487","-2333,5860739564",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Тариха Цейсс-600,Tarija,10071,"-21,5962759788","-64,6240790218","1,865","-0,376926122","-1,127902955","2543,3992815883","-5362,2012101978","-2333,5924299516",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Тариха ОРИ-25,Tarija,10072,"-21,5962759788","-64,6240790276","1,865","-0,376926122","-1,1279029551","2543,3992810521","-5362,2012104521","-2333,5924299516",12,8,1,2,2,3,3,5,4,3,2,1,1,1,0,1,2,4,3,3,2,0,7,9,12
Тариха ТАЛ-250К,Tarija,10073,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Благовещенск ТАЛ-250К,Blagoveshchensk,10074,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Благовещенск ЧВ-500,Blagoveshchensk,10075,"50,31883488","127,4822789","0,22564","0,8782293444","2,2249855048","-2483,2184037018","3238,2665379441","4885,6832440604",34,34,32,15,15,15,15,14,14,13,13,13,15,13,13,15,16,15,16,26,27,32,34,34,34
Артем ОРИ-25,Artem,10078,"43,3401889721","132,0706660056","0,0161","0,756428996","2,3050679671","-3113,1090754407","3448,894105487","4355,0766539479",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Паратунка,Paratunka,10080,"52,972038","158,24764","0,0866","0,9245364746","2,7619423515","-3575,130395129","1426,5030998373","5068,7393178633",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Мильково,Milkovo,10081,"54,582724","158,427003","0,2014","0,9526482485","2,7650728264","-3445,1512177558","1362,1540174522","5174,7661177897",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Мильково,Milkovo,10082,"54,694557","158,625929","0,17442","0,9546001026","2,7685447401","-3440,3908705641","1346,4787028498","5181,9488935731",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Мильково ОРИ-22,Milkovo,10083,"54,7015348","158,629466","0,175","0,9547218882","2,7686064724","-3439,8839444297","1346,0354325756","5182,3982543208",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Елизово-Камчатка Meade-25,Elizovo-Kamchatka,10084,"53,179496","158,520867","0,115","0,9281572998","2,7667110623","-3564,7328526714","1402,6861140671","5082,6322562387",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Красноярск,Krasnoyarsk,10085,"56,01208","92,974849","0,1224","0,9775952169","1,6227172366","-185,4713693284","3568,9797558075","5265,2957276359",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Барнаул ТАЛ-250,Barnaul,10088,"53,349014","83,767377","0,2197","0,931115947","1,4620165344","414,2550716743","3793,1660479202","5094,0006067315",3,3,3,2,2,2,0,2,1,2,2,4,5,6,6,7,9,7,6,3,2,2,2,3,3
Маяки ОМТ-800,Mayaki,10090,"46,39696195","30,27127709","0,0189411765","0,809779749","0,528333454","3805,655140689","2221,2867913129","4595,8024293659",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Ужгород BRC-250,Uzhgorod,10092,"48,5635510197","22,453751235","0,230871","0,8475938618","0,3918918885","3908,4806287035","1615,2507251032","4758,7504518783",15,30,55,65,65,65,65,1,1,1,1,1,1,1,10,15,10,10,10,10,10,10,10,10,15
Кисловодск ЭОП 1.1 2 x VT78a,Kislovodsk,10093,"43,740274","42,6536549966","2,1062","0,763411797","0,7444467177","3395,6303202873","3128,3158457717","4388,7436890144",30,30,30,30,20,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,30,30,30,30
Кисловодск ЭОП 1.1 ОРИ-25,Kislovodsk,10094,"43,7402722855","42,65359","2,10716","0,7634117671","0,7444455833","3395,6344760635","3128,312552969","4388,7442150722",30,30,30,30,30,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,30,30,30
Кисловодск ОЭС 50 ЧВ-500,Kislovodsk,10095,"43,740272","42,653441","2,10696","0,7634117621","0,7444429828","3395,6425212164","3128,3036394307","4388,7440538723",30,30,30,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,30,30,30
Кисловодск ЭОП 1.1 Сантел-400АН,Kislovodsk,10097,"43,7402559504","42,6537329996","2,1068","0,763411482","0,7444480791","3395,6274002629","3128,3217021142","4388,7426544782",43,43,30,30,30,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,30,30,30,30,30
Кисловодск VT-78e,Kislovodsk,10098,"43,740272","42,653441","2,10696","0,7634117621","0,7444429828","3395,6425212164","3128,3036394307","4388,7440538723",35,35,35,35,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,35,35,35,35,35
Монды АЗТ-33ИК,Mondy,10103,"51,6202916667","100,9214666667","1,993","0,9009440504","1,7614118793","-752,0563518915","3897,5084912445","4978,2452376661",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Монды Мон3 АЗТ-33ВМ,Mondy,10104,"51,6202919747","100,9229593774","2,0194583391","0,9009440558","1,761437932","-752,161","3897,505","4978,266",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Архыз Сажень-ТМ,Arhyz,10110,"43,6498683333","41,4314416649","2,0784","0,7618339205","0,7231150709","3466,7740155275","3059,7551588233","4381,459557616",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Терскол К-800,Terskol,10111,"43,274571","42,500046","3,1075","0,7552837463","0,7417657349","3430,8136394364","3143,7665572928","4351,8909083061",10,8,5,3,3,3,3,3,3,3,3,4,5,4,4,3,3,3,3,3,4,6,7,9,10
Чугуев ТАЛ-250К,Chuguev,10112,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Чугуев ОРИ-25,Chuguev,10114,"49,6409056","36,9358583","0,1524","0,8663972464","0,6446523394","3307,9218580907","2486,8968208114","4837,136204625",45,38,30,8,4,4,4,4,4,4,7,9,10,8,7,5,4,4,5,10,15,9,28,37,45
Маяки ТАЛ-250К,Mayaki,10116,"46,39697995","30,27129509","0,0185","0,8097800631","0,5283337682","3805,6529287366","2221,2871031349","4595,8034898095",30,25,12,10,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,10,22,30
"""Цейсс-1000 Восточный"" ТШАО АФИФ",Vostochnyj,10121,"43,0572222222","76,9716666667","2,724","0,7514902945","1,3434090141","1052,6826187761","4549,4041712559","4334,0085649643",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Краснодар ГАМ-180,Krasnodar,10149,"45,020408","39,030814","0,04149","0,7857543502","0,681216214","3508,0748011025","2843,9081648382","4488,9811765464",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Тариха Цейсс-600АА,Tarija,10171,"-21,5966802","-64,6238128","1,8625","-0,376933177","-1,1278983086","2543,416138517","-5362,1724035556","-2333,6331373413",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Косала ЧВ-400,Cosala,10172,"24,40157","-106,609789","0,631","0,4258877392","-1,8606918329","-1661,4548830096","-5569,763669943","2619,1133686687",15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Циммервальд ZIMSPACE,Zimmervald,10189,"46,8769382731","7,4650855606","0,9551928762","0,8181569161","0,130290322","4331,311","567,543","4633,121",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Барселона ТФРМ-50,Barcelona,10190,"42,0516167","0,7297778","1,569","0,7339391672","0,0127370254","4743,9409612662","60,4269643657","4250,9136675706",71,60,48,40,35,33,33,30,25,20,17,15,15,15,15,15,15,30,33,40,42,48,50,60,71
Циммервальд ZIMLAT,Zimmervald,10191,"46,8772284121","7,4652189466","0,9510848782","0,81816198","0,13029265","4331,2835484475","567,5496594148","4633,140052849",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Циммервальд ZIMSMART,Zimmervald,10194,"46,8769361222","7,4652337277","0,9526767055","0,8181568786","0,130292908","4331,308","567,554","4633,119",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Тенерифе,Tenerife,10198,"28,3010222533","-16,5118919998","2,444598","0,49394602","-0,2881868811","5390,2810048726","-1597,8909917233","3007,0779956549",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Рожен (Шмидт),Rozhen,10231,"41,69662","24,73779","1,723","0,727743306","0,4317558852","4332,9645402896","1996,404506135","4221,6489817231",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Рожен (Ц-600),Rozhen,10232,"41,696524","24,738391","1,716","0,7277416304","0,4317663746","4332,9452951993","1996,4507379324","4221,6363618406",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Рожен (Ц-2000),Rozhen,10233,"41,692712","24,738595","1,72","0,7276750985","0,4317699351","4333,1967445937","1996,5852995945","4221,3227924583",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Коллепардо ОРИ-22,Collepardo,10240,"41,7652786551","13,3750410077","0,561005","0,7289416255","0,2334385032","4635,5848832869","1102,2183696682","4226,5675001877",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
